title,lyrics,이별유무,긍부정,cluster_label
이 못난 나를 (Prod. By LA박피디-박상균),숨을 쉴 수 없죠. 그대 생각나면. 잠을 잘 수 없고. 도무지 살 수가 없죠. 살아오는 동안. 그대 힘이었는데 전부였는데. 그댈 만난 내 잘못이죠. 헤어질 거면 만나지나 말 것을. 함께 지낸 숱한 날들이. 그게 생각나 가끔은 울겠죠. 이해해줘요 이 못난 나를. 아팠나요 많이. 나 때문인가요. 알고 싶죠 그대. 왜 그리 서둘렀나요. 그대에게 내가 부담이 됐나요. 짐이 됐나요. 그댈 보낸 내 잘못이죠. 살아갈 동안 이젠 짐이 된 거죠. 아프게 한 숱한 순간이. 그게 미안해 가끔 또 울겠죠. 용서해줘요 이 못난 나를. 나란 사람 생각나나요. 기억하나요 가끔 떠오르나요. 바보같이 난 좋았던 추억. 그걸 못 잊어. 자꾸만 그립죠 사랑했나요. 이 못난 나를. 사랑했어요 잘난 그대를,1,0,0
꿈이면 좋겠어 (rewind),밤이 뱉는. 조용한 속삭임이.왠지 슬퍼. 네가 더그리운 밤. 괜찮을줄 알았었는데.여전히 괜찮지 않아.함께일땐짧던 이 밤이.영원처럼 길기만 해. 의미없이 시곌뒤로 돌려.혹시라도 네가 돌아올까봐.감다보니 제자린 걸. 그때 조금만더 잘해줄 걸. 모질게 뱉은말이 자꾸만 생각나.엎질러진 이별일까.널 담던 두 눈엔 자꾸 비가 내려.꿈이면 좋겠어. 지금이. 천천히 멀리.추억이 흩어져간다.근데 맘은 두리번대며 자꾸 널 찾아.의미없이시곌 뒤로 돌려.혹시라도 네가 돌아올까봐.감다보니 제자린걸.그때 조금만 더잘해줄 걸. 모질게 뱉은말이 자꾸만 생각나.엎질러진 이별일까.널 담던 두 눈엔 자꾸 비가 내려.꿈이면 좋겠어. 모든게. 어디를 봐도다 너야.추억이 온통 묻어서.눈을뜰 수가 없어. 어떡해. 의미없이 시곌뒤로 돌려.혹시라도 네가 돌아올까봐.감다보니 제자리야.그때 조금만 더잘해줄 걸. 모질게 뱉은말이 자꾸만 생각나.엎질러진 이별일까.널 담던 두 눈엔 자꾸 비가 내려.꿈이면 좋겠어.돌아와,1,0,0
기다리지마요,나 기다리지 마요 우리의 추억에 날. 나 울리지는 마요. 그 기억 너머의 우리. 좋았던 날들은 모두. 이대로 멈춰 버려요 그만 날 놔줘요. 다시는 마주치지 마요. 그렇게 나를 버려요 이젠 안녕. 그리워 말아요. 그립지 말아요 그대 나를. 날 미워해 줘요 날 사랑하나요. 나도 그대를. 나 기다리지 마요. 우리의 지난날의 나. 나 울지 않을래요 그대 날 떠나도 난. 사랑한다는 기억만. 이대로 간직 해줘요 처음 그날 처럼. 잊어 버리면 안돼요. 내 손을 잡아 주세요 그대로 날. 그리워 말아요. 그립지 말아요 그대 나를. 날 미워해 줘요 날 사랑 하나요. 나도 그댈. 날 사랑 하나요 나 미워요 내가 나도. 날 떠나지마요 거짓말 처럼 널. 다시 안고 싶어,1,0,1
기다리지마요 (Inst.),나 기다리지 마요 우리의 추억에 날. 나 울리지는 마요. 그 기억 너머의 우리. 좋았던 날들은 모두. 이대로 멈춰 버려요 그만 날 놔줘요. 다시는 마주치지 마요. 그렇게 나를 버려요 이젠 안녕. 그리워 말아요. 그립지 말아요 그대 나를. 날 미워해 줘요 날 사랑하나요. 나도 그대를. 나 기다리지 마요. 우리의 지난날의 나. 나 울지 않을래요 그대 날 떠나도 난. 사랑한다는 기억만. 이대로 간직 해줘요 처음 그날 처럼. 잊어 버리면 안돼요. 내 손을 잡아 주세요 그대로 날. 그리워 말아요. 그립지 말아요 그대 나를. 날 미워해 줘요 날 사랑 하나요. 나도 그댈. 날 사랑 하나요 나 미워요 내가 나도. 날 떠나지마요 거짓말 처럼 널. 다시 안고 싶어,1,0,1
나의 여름,어제의 우린 사소한.말로 다퉜어.아픔을 남기고서.그제야 알았어.이렇게 늘 지나고 나서야 알게 돼. 그대-. 내게 와날 안아줘요.온기로 녹여줘 밤을추운 나의.오 나의 되어줘여름이 그대가.그렇게 해요.다른곳을 향하지 마요.오늘 부는 바람은.너무나 추워요.당신이 내쉬는 숨은.나를 아껴줘요.이렇게 늘 지나고 나서야 알게 돼. 그대-. 내게 와날 안아줘요.온기로 녹여줘 밤을추운 나의.오 나의 되어줘여름이 그대가.그렇게 해요.다른곳을 향하지 마요.어떻게 지내요.날이 무척 춥네요.이 곳은 조용해요.조금 지루할 뿐이에요,1,0,1
Fade Away,아름다운 시간 흐려져. 무너지는 하루하루만 난. 끝도 없는 이 길에 있어. 이별이란 너와 나의 길. 함께 했던 추억들도 어색해져 보여. 달라진 너의 표정이 내게 말해. 아무도 거기에 없을 거야. 네가 떠난 그 순간 흩어지고 넌 사라져가. 아무도 거이 없을 거야. 너만 찾던 내 맘은 멈춰 섰어. 기억 모두 사라져가. 습관처럼 다시 떠올려. 무너지는 매일매일 내가. 기다린단 말도 무색해. 이미 다른 모습의 너. 아무렇지도 않은 척도 할 수가 없게 돼. 달라진 네 표정들이 내게 말해. 아무도 거이 없을거야. 네가 떠난 그 순간. 흩어지고 넌 사라져가. 아무도 거기 없을거야. 너만 찾던 내 맘은 멈춰 섰어. 기억 모두 사라져 가. 눈물만 오. 아무도 거기 없을거야. 네가 남긴 모든 게 흩어지고 넌 사라져가. 아무도 거기 없을거야. 너만 찾던 내 맘은 멈춰 섰어. 기억 모두 사라져가. 사라져가.,1,0,2
I'm Missing You,아직모르고 있죠 그댄.얼마나 특별한지.당신의 맘에.이런내가 닿길 바래.조금더 깊어져가 내가.그대와 함께할수록 나.난 널 그리워해.너를 기다린다내 맘이 그대를 향해 있는 걸요.난 널 그리워해.너를 기다린다그댈 오늘도 기다려요.고민이 많아져요 이젠.하루 온종일 그대 생각만 하는 나.난 널 그리워해.너를 기다린다내 맘이 그대를 향해 있는 걸요.난 널 그리워해.너를 기다린다그댈 오늘도 기다려요.언제나 내 곁을 지켜 주었던 그댈.놓치고 싶지 않아요. 정말.난 널 그리워해.너를 기다린다내 맘이 그대를 향해 있는 걸요.난 널 그리워해.너를 기다린다그댈 오늘도 기다려요.그댈 오늘도 기다려요,1,0,1
이 바보야,세상이 멈춘 것 같았어. 우연히 널 거리에서 마주쳤을 때. 가끔 들리는 너의 안부에도. 난 꼭 참았는데. 이 바보야 너 땜에 아프잖아. 왜 또 옷은 춥게 얇게 입었어. 나를 피하는 눈빛이 야윈 너의 얼굴이. 그런 니가 미워서. 나는 또 밤새 취해 간다. 어디부터 잘못된 걸까. 천천히 너에게 맞춰 기다렸다면. 내가 가진 현실은 초라했고. 마음만 커져가고. 나 땜에 힘들다고 했잖아. 행복해지고 싶다 그랬잖아. 어떻게 널 보냈는데. 이 바보야 너 땜에 아프잖아. 왜 또 옷은 춥게 얇게 입었어. 내 전부였던 눈빛이 사랑했던 얼굴이. 여전히 반가워서 눈물이 흘러. 어렸어서 서운해서 소중해서 불안해서. 다 망쳐버린 걸 알아 다 미안해. 이 바보야. 얼마나 사랑했는데. 어떻게 헤어졌는데 다신 만나지 말자. 잡을 수 없게 잘 살아줘,1,0,2
이 바보야,세상이 멈춘 것 같았어. 우연히 널 거리에서 마주쳤을 때. 가끔 들리는 너의 안부에도. 난 꼭 참았는데. 이 바보야 너 땜에 아프잖아. 왜 또 옷은 춥게 얇게 입었어. 나를 피하는 눈빛이 야윈 너의 얼굴이. 그런 니가 미워서. 나는 또 밤새 취해 간다. 어디부터 잘못된 걸까. 천천히 너에게 맞춰 기다렸다면. 내가 가진 현실은 초라했고. 마음만 커져가고. 나 땜에 힘들다고 했잖아. 행복해지고 싶다 그랬잖아. 어떻게 널 보냈는데. 이 바보야 너 땜에 아프잖아. 왜 또 옷은 춥게 얇게 입었어. 내 전부였던 눈빛이 사랑했던 얼굴이. 여전히 반가워서 눈물이 흘러. 어렸어서 서운해서 소중해서 불안해서. 다 망쳐버린 걸 알아 다 미안해. 이 바보야. 얼마나 사랑했는데. 어떻게 헤어졌는데 다신 만나지 말자. 잡을 수 없게 잘 살아줘,1,0,2
보고 싶어,보고 싶어. 새하얀 입김으로. 새어 나왔던. 내 맘은 어디에 닿질 못하고. 찬 공기 사이로 천천히. 흩어져 버린다. 푸른빛의 스웨터를 입은 사람. 보게 될 때면. 괜시리 맘이 쿵 내려앉는다. 혹 그댈 마주친 것처럼. 마음이 일렁거린다. 그대는 여전히. 겨울이 좋은가요. 나는 매번 달라요. 아프다가도 반갑기도 해. 올해는 많이도 그리워요 그대가. 정말 보고 싶어. 혼잣말만 해봐요. 계절마다. 쌓여있던 추억은 다행스럽게. 시간이 하나둘씩 덜어줬죠. 다만 겨울에 담긴 추억은. 해마다 점점 선명해져. 그대는 여전히. 겨울이 좋은가요. 나는 매번 달라요. 아프다가도 반갑기도 해. 올해는 많이도 그리워요 그대가. 정말 보고 싶어. 혼잣말만 해봐요. 유난히 추웠던 그 날 밤. 평소보다 조금 늦은 그댄. 정말 미안해하며. 그대의 따뜻한 손을. 나의 주머니 속에 넣었죠. 그때의 온기가. 지금도 그리워요. 그대 예쁜 미소도. 하나 빠짐없이 선명해요. 올해는 유난히 그리워요 그대가. 정말 보고 싶어. 보고 싶다 말하면. 한달음에 달려갔던 그때처럼,1,0,0
